         396379 function calls (384047 primitive calls) in 4.043 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:540(__init__)
     1113    0.012    0.000    0.034    0.000 __init__.py:541(endData)
       26    0.000    0.000    0.000    0.000 __init__.py:554(__missing__)
        1    0.000    0.000    0.000    0.000 __init__.py:555(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:57(GuessedAtParserWarning)
      869    0.004    0.000    0.012    0.000 __init__.py:576(object_was_parsed)
      514    0.004    0.000    0.004    0.000 __init__.py:604(_linkage_fixer)
        1    0.000    0.000    0.000    0.000 __init__.py:608(update)
        3    0.000    0.000    0.021    0.007 __init__.py:61(lookup)
        1    0.000    0.000    0.000    0.000 __init__.py:62(MarkupResemblesLocatorWarning)
      541    0.004    0.000    0.007    0.000 __init__.py:644(_popToTag)
      541    0.006    0.000    0.043    0.000 __init__.py:678(handle_starttag)
        1    0.000    0.000    0.000    0.000 __init__.py:688(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:69(BeautifulSoup)
        4    0.000    0.000    0.021    0.005 __init__.py:70(search_function)
      541    0.001    0.000    0.022    0.000 __init__.py:716(handle_endtag)
      875    0.001    0.000    0.001    0.000 __init__.py:726(handle_data)
        1    0.000    0.000    0.000    0.000 __init__.py:730(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:765(BeautifulStoneSoup)
        1    0.000    0.000    0.000    0.000 __init__.py:767(Filterer)
       12    0.000    0.000    0.000    0.000 __init__.py:772(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:776(StopParsing)
        1    0.000    0.000    0.000    0.000 __init__.py:780(FeatureNotFound)
        1    0.000    0.000    2.437    2.437 __init__.py:8(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:839(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:849(Handler)
        3    0.000    0.000    0.000    0.000 __init__.py:858(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:887(createLock)
        6    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000    0.003    0.003 __meta__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __meta__.py:118(_is_pre)
        1    0.000    0.000    0.000    0.000 __meta__.py:123(_is_dev)
        1    0.000    0.000    0.000    0.000 __meta__.py:128(_is_post)
        1    0.000    0.000    0.000    0.000 __meta__.py:138(_get_canonical)
        1    0.000    0.000    0.000    0.000 __meta__.py:39(Version)
        1    0.000    0.000    0.000    0.000 __meta__.py:82(__new__)
        1    0.000    0.000    0.000    0.000 __version__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:12(is_appengine_sandbox)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:22(is_local_appengine)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:28(is_prod_appengine)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:8(is_appengine)
        1    0.000    0.000    0.000    0.000 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:9(Trie)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:106(HTTPHeaderDict)
        1    0.000    0.000    0.000    0.000 _collections.py:140(__init__)
       12    0.000    0.000    0.000    0.000 _collections.py:155(__getitem__)
        9    0.000    0.000    0.000    0.000 _collections.py:186(__iter__)
